note_id,content
5148472396747396,#李在明二审无罪# 韩国法院这是把法律当橡皮泥玩呢！李在明这个案子一审说有罪，二审又说没罪，这不是自己打自己脸吗？判案跟闹着玩似的，哪还有什么司法公信力？  更搞笑的是尹锡悦自己。当初被抓的时候闹得满城风雨，结果法院又说“拘留期限有纰漏”&quot;证据不足&quot;，然后就给放了。这不明摆着双标吗？法 ...全文
5148472296341745,在韩国复杂的政治棋局里，李在明二审无罪的消息，如同投入平静湖面的巨石，激起层层涟漪。正如 “与其杀不辜，宁失有罪”，这次审判似在追寻司法公正的本真。   回溯过往，李在明一审因涉嫌违反《公职选举法》被判一年监禁，缓刑两年。此次二审推翻原判，背后反映出韩国司法与政治之间的激烈拉扯。在韩 ...全文
5148466340169054,#李在明二审无罪# 韩国本周有意思啊。  周一审代总统韩悳洙，无罪。  周三审李在明，推翻一审，无罪。  周五审尹锡悦……  要是无罪的话，就能高高兴兴的回去继续当总统了 墟里临风的微博视频 
5148456910588259,李在明安全的消息刚出来 尹锡悦粉丝就在我家门口这边闹起来了 拿着麦克嗷嗷喊 能不能把他们投诉了啊 特别没素质还扰民 
5148226920911581,尹锡悦宣判前，李在明：如果弹劾失败，国家将会灭亡。#韩国局势##半岛局势##拭目以待# 潇洒友A的微博视频 
5148446627203809,【#尹锡悦弹劾宣判或将推迟到4月，宪法法院27日宣判40起普通案件#】 网页链接 尹锡悦总统弹劾审判的宣判日期或将推迟到4月。宪法法院于25日宣布，“将于本月27日上午10点举行案件宣判会”。这是通常每月举行的例行宣判日，本月总共宣判40起案件。继24日周一对韩德洙总理弹劾审判进行宣判之 ...全文
5148438073182583,分享视频 深蓝航迹十月的微博视频 
5148428859870385,韩国如果对申源湜，李昌洋，朴庠禹，李宗昊，权德喆，朴普均，权宁世，金暎浩，赵兑烈，柳仁村，赵明来，韩和真，安德根，朴俊泳，高绮童弹劾成功，尹锡悦才是真的被弹劾不远了。 
5148214517564451,尹锡悦4月前被弹劾成功的胜率只有15%了，大概率是文在寅被调查影响的#文在寅父女双双被检方调查# 
5148408310402495,3月25日看个报，星期二，二月二十六！ 在这里，60秒读懂世界！ 1、“天网2025”行动正式启动； 2、香港民航处：4月7日起，乘客不得把外置充电器放置于行李架上； 3、6.7万张票！国足对阵澳大利亚上座人数或创国内球赛纪录； 4、市监总局：推动婴幼儿配方乳粉生产企业落实食品安全主体责任； 5、香港精 ...全文
5148399931495216,李在明脸上总有一种我最对的骄横，不如文在寅有种文人的儒雅从容，尹锡悦更不用说了，连自我都没有，怎么治理国家，哎，难道朴槿惠要上位了？ 
5148392201912994,【#韩媒推测尹锡悦案何时宣判关键日期#】据韩联社报道，韩国宪法裁判所(宪法法院)何时对总统尹锡悦弹劾案作出裁决，成各方关注焦点。若宪法法院26日不告知宣判日期，该案裁决结果恐难在本周出炉。据法律界消息，宪院法官当天将继续进行评议工作。鉴于宣判筹备工作至少需要两天的时间，若法官们当天得出 ...全文
5148376387554253,朴槿惠弹劾案8比0通过，尹锡悦情况更严重，弹劾案会通过吗？ - 作者：毛开云，网页链接 （想看更多？下载 @知乎 App：知乎 ） 
5148074709877633,【韩总理弹劾案驳回 韩悳洙复职及恢复代理总统职务】在野党方面持保留态度，认为法院此举更多是出于“最小化国政混乱”的策略考虑，可能为应对尹锡悦案而提前设定基调。在野阵营私下也透露，宪法法院内部法官意见分歧显著，对即将展开的总统弹劾案仍存高度不安，强调“绝不能掉以轻心”。 ...全文
5147658902573001,下庭了 证据不太足 以我的感觉推断，尹锡悦是真的有极大概率安全  #海外新鲜事# 
5148364661853343,【尹锡悦弹劾案何时宣判今日或见分晓】#韩国时局#  韩国宪法裁判所（宪法法院）何时对总统尹锡悦弹劾案作出裁决，成各方关注焦点。若宪法法院26日不告知宣判日期，该案裁决结果恐难在本周出炉..网页链接 
5148088227595005,本周还有一件大事，那就是棒子那边的靴子也要落地，韩国宪院对韩德洙弹劾案作出了宣判，没有认同国会方提出的理由，他将立即恢复原职，剩下的压力就给了李在明，李在明的案件将在本周落地，同时尹锡悦的弹劾案也将在随后三天落地，鹿死谁手？结果不同，对我们的影响也是大相径庭！#大盘# 
5148361670262964,发布了头条文章：《韩国政坛风云：尹锡悦弹劾案的台前幕后》 #尹锡悦弹劾案未获通过#  韩国政坛风云：尹锡悦弹劾案的台前幕后 
5148356574710175,韩国最近也真是够乱的，总统尹锡悦的弹劾案搞成了全球笑话，紧接着代总统又被弹劾，好不容易总统出来了，又开始对前总统和女儿进行问询。 感觉还是老问题，党争！ 韩国的历史老问题，总统亡于党争！ 现在又发生了山火，有山火很正常，但是有山火亖人就不正常了。 我看他们再乱个三五年，电子产品和造船 ...全文
5148100091971510,青瓦台，又称“蓝宫”，韩国总统官邸。  此间主人，除文在寅外，无一善终。卢武铉跳崖自杀，朴槿惠等被捕入狱。“青瓦台魔咒”，赫赫有名。  尹锡悦上任后，不肯在青瓦台办公，而是把国防部的大楼设为总统办公室。  但他的结局更差：其他总统好歹是卸任后才被清算，尹锡悦还在台上就被捕，创下了韩国宪 ...全文
5148175057027243,#文在寅父女双双被检方调查#硕果仅存的文在寅，看来也逃不过青瓦台魔咒啊！有人说，这是尹锡悦临死拉个垫背的，我觉得不大可能。自顾不暇的尹锡悦，大体是没这功夫和能力的。那么，是谁不肯放过这个唯一安然退下的韩国总统呢？ 倾听指尖的微博视频 
5148172054432772,#文在寅父女双双被检方调查#。文在寅父女双双被调查，二人被指共同受贿。尹锡悦到死了也要拉个垫背的啊。 尹锡悦：青瓦台魔咒不能就这么破了嘛 陆战铁骑的微博视频 
5148171228939303,#文在寅父女双双被检方调查# 自从1948年，半岛割裂，有南朝鲜以来，南韩共有13任总统，全部没有好下场。  1、李承晚，1960年被迫辞职，流亡夏威夷，客死他乡；  2、尹潽善，只当了7个月总统，被朴正熙发动政变赶下台；  3、朴正熙，被刺杀；  4、崔圭夏，只当了9个月总统，被全斗焕政变推翻；  5、全斗 ...全文
5148165104206579,之前网友说文在寅破了韩国总统必入狱的诅咒  现在看来还是要入狱 #文在寅父女双双被检方调查# 
5148161316487733,【#文在寅父女双双被检方调查#】尹锡悦方面的反扑和挣扎还是挺严重，文在寅是唯一逃脱魔咒全身而退者。 
5148160097262197,这个意图太明显了，就是想通过转移公众焦点，将责任归咎于在野D的方式，试图合理化尹锡悦的戒严令。尹锡悦一方可能急于扩大这件事的影响力...  我在想，这几天外交部是否会召开例行记者会。也很想知道，是否会有记者提出这个问题。  在油管评论区看到，有网友提到，在媒体报道之前，油管上的自媒体已经 ...全文
5148151071116771,#V评智库#【今日热点：山西订婚强奸案二审开庭、美俄利雅得会谈、美军空袭也门计划离谱泄密、#花开时节遇见最美城市#……】3月25日，和学者、评论员、自媒体大V一起关注那些值得关注的事，共同 #广角看世界#。  1、俄乌局势进展 @沈逸 逸语道破：停战会谈俄罗斯节奏好，美国态度好，但乌克兰……  ...全文
5148121040162600,韩外长称韩国被美国列为“敏感国家”与核问题无关…… 但同等级名单中有多个有核国家 : 韩民族日报 网页链接 韩国外交部长官赵兑烈24日就美国能源部将韩国列为敏感国家一事表示，“根据美方说明，韩国被列入‘其他指定国家’名单，属于最低的第三级。(这一等级)与聚焦防扩散和反恐的第1、2 ...全文
5148073814658947,韩国娱乐业比好莱坞更水深火热，彭博社消息：韩国电视制作人期盼中国解除禁令以挽救行业危机，随着电视剧产量暴跌、电影票房崩盘，从业者寄望中国解除对韩流内容的非官方禁令。  制片人宋炳俊曾制作《宫》《模范出租车》等大热韩剧。然而当他试图独立融资并制作两部新剧时，却找不到买家。  过去两年， ...全文
5148705549977139,韩国李在明，改判无罪。 #新闻# 海燕看天下的微博视频 
5148456356415217,#李在明二审无罪#【#李在明二审推翻一审判决#】当地时间26日，韩国首尔高等法院对韩最大在野党党首李在明涉嫌违反《公职选举法》案作出二审宣判，推翻一审判决，判定李在明无罪。韩国首尔中央地方法院去年11月一审认定李在明作为总统竞选人说谎，违反《公职选举法》，判处他一年监禁，缓刑两年。...全文
5148881713103004,【韩媒：#李在明视察山火灾情时遇袭#】#李在明被一男子用外套袭击# 据韩媒报道，韩国最大在野党共同民主党党首李在明27日视察庆尚道山火灾情时，被一名男子用外套袭击。报道称，当时李在明走出避难所，和志愿者打招呼，一名身着黑衣的路人用外衣猛击李在明的上身和脸，随即被安保人员拦下。李在明没有 ...全文
5148488183844715,韩国最大在野党党首 李在明二审被判无罪 走出法院时向支持者鞠躬！  双方各赢一局，上次是执政党的被判无罪。现在棒子有时间内斗 前HR本人的微博视频 
5148584039417502,韩国首尔高等法院今（26）日对最大在野党共同民主党党揆李在明涉嫌违反《公职选举法》一案作出二审宣判，推翻一审“有期徒刑一年、缓刑二年”的有罪判决，改判李在明无罪。此案涉及李在明在京畿道知事任内的言论争议，牵动韩国政坛敏感神经，二审结果不仅为李在明的政治前途带来转机，也可能对执政党与 ...全文
5148458524870006,【韩国最大在野党党首李在明二审被判无罪】韩国首尔高等法院26日对最大在野党共同民主党党首李在明涉嫌违反《公职选举法》案作出二审判决，推翻一审判决结果。#李在明被判无罪#。 
5148476292204440,#李在明二审无罪##李在明二审推翻一审判决#当地时间26日，韩国首尔高等法院对韩最大在野党党首李在明涉嫌违反《公职选举法》案作出二审宣判，推翻一审判决，判定李在明无罪。这是韩国各大政治势力之间的激烈博弈。#热点观点# 
5148456335180194,李在明短期获得自由：二审推翻一审裁定，无罪。 
5148456504266044,#李在明二审被判无罪#当地时间今天（3月26日）下午，韩国首尔高等法院对韩国最大在野党共同民主党党首李在明涉嫌违反韩国《公职选举法》案件作出二审裁决，推翻一审判决，判定李在明无罪。2024年11月15日，韩国首尔中央地方法院作出一审判决，李在明违反《公职选举法》罪名成立，对其判处有期徒刑一年 ...全文
5148911904754845,【#李在明# 视察山火灾区遭一男子挥衣威胁未受伤】韩国最大在野党共同民主党党首李在明27日视察庆尚北道英阳郡山火现场时遭一男子挥舞外套威胁，警卫人员立即将该男子制伏... 网页链接 #李在明视察山火灾情时被袭# 
5148910067128003,李在明，视察庆尚道山火灾情时，被一名男子用外套袭击。 
5148907195335256,【韩媒：#李在明视察山火灾情时遇袭#】#李在明被一男子用外套袭击# 据韩媒报道，韩国最大在野党共同民主党党首李在明27日视察庆尚道山火灾情时，被一名男子用外套袭击。报道称，当时李在明走出避难所，和志愿者打招呼，一名身着黑衣的路人用外衣猛击李在明的上身和脸，随即被安保人员拦下。李在明没有 ...全文
5148905860498829,韩媒：李在明在视察山火灾情时遇袭  据韩媒报道，韩国最大在野党共同民主党党首李在明27日视察庆尚道山火灾情时，被一名男子用外套袭击。 报道称，李在明已连续两天前往遭受大规模山火袭击的庆尚北道地区视察灾情。他26日前往安东市受灾者避难所慰问居民，27日又探访了因山林火灾受损的庆尚北道义城郡 ...全文
5148472340907539,【#李在明二审无罪#称：如果将抓我的劲儿用于预防山火和改善国民生活，那该有多好】#海外新鲜事#  李在明公职选举法案件二审获判无罪，谴责检方和政权捏造证据。  在26日的公职选举法违反案件二审中被判无罪的共同民主党党首李在明在宣判结束后表示：&quot;检方和政权为抓捕我而捏造证据和案件&quot;，&quot;若将这些 ...全文
